sample_id,seed,method,method_variant,physics_informed,physics_projection,div_weight,eta,measurement_sigma,operator,noise_sigma,rel_l2,rmse,measurement_error,divergence,vorticity_rmse,run
traj1650_snap15,0,ddrm,ddrm_physics,0,1,0.0,0.0,0.0,downsample,0.0,0.0631974712014198,0.026510689407587,0.008642722852528,0.0008598264539614,0.0447853952646255,runs_ddrm_colab/ddrm_phys_downsample_eta0p0_n16_steps128
traj1713_snap12,0,ddrm,ddrm_physics,0,1,0.0,0.0,0.0,downsample,0.0,0.0772316008806228,0.0197197366505861,0.0120289763435721,0.0010811805259436,0.0340729616582393,runs_ddrm_colab/ddrm_phys_downsample_eta0p0_n16_steps128
traj1651_snap33,0,ddrm,ddrm_physics,0,1,0.0,0.0,0.0,downsample,0.0,0.0794727802276611,0.0203249286860227,0.0123441070318222,0.0010085438843816,0.0329155102372169,runs_ddrm_colab/ddrm_phys_downsample_eta0p0_n16_steps128
traj1627_snap36,0,ddrm,ddrm_physics,0,1,0.0,0.0,0.0,downsample,0.0,0.0664263069629669,0.02600091509521,0.0100078824907541,0.0006098790909163,0.0451067052781581,runs_ddrm_colab/ddrm_phys_downsample_eta0p0_n16_steps128
traj1676_snap25,0,ddrm,ddrm_physics,0,1,0.0,0.0,0.0,downsample,0.0,0.0806698724627494,0.033403780311346,0.0117932148277759,0.0009926477214321,0.0576821193099021,runs_ddrm_colab/ddrm_phys_downsample_eta0p0_n16_steps128
traj1655_snap39,0,ddrm,ddrm_physics,0,1,0.0,0.0,0.0,downsample,0.0,0.0826811715960502,0.0407056286931037,0.0105879688635468,0.0009024712489917,0.0734860450029373,runs_ddrm_colab/ddrm_phys_downsample_eta0p0_n16_steps128
traj1625_snap39,0,ddrm,ddrm_physics,0,1,0.0,0.0,0.0,downsample,0.0,0.0877071097493171,0.0269138664007186,0.0130958128720521,0.0010087452828884,0.0466253831982612,runs_ddrm_colab/ddrm_phys_downsample_eta0p0_n16_steps128
traj1613_snap25,0,ddrm,ddrm_physics,0,1,0.0,0.0,0.0,downsample,0.0,0.1061975732445716,0.0452732369303703,0.0146270869299769,0.0010785718914121,0.0777821764349937,runs_ddrm_colab/ddrm_phys_downsample_eta0p0_n16_steps128
traj1655_snap41,0,ddrm,ddrm_physics,0,1,0.0,0.0,0.0,downsample,0.0,0.0750840902328491,0.0369301587343215,0.010008905082941,0.0007149448501877,0.0681615024805069,runs_ddrm_colab/ddrm_phys_downsample_eta0p0_n16_steps128
traj1673_snap4,0,ddrm,ddrm_physics,0,1,0.0,0.0,0.0,downsample,0.0,0.0558167919516563,0.0142916711047291,0.0092158671468496,0.0006854787352494,0.0252706501632928,runs_ddrm_colab/ddrm_phys_downsample_eta0p0_n16_steps128
traj1639_snap41,0,ddrm,ddrm_physics,0,1,0.0,0.0,0.0,downsample,0.0,0.0882297679781913,0.0287940185517072,0.0134825175628066,0.0011122074211016,0.0491402186453342,runs_ddrm_colab/ddrm_phys_downsample_eta0p0_n16_steps128
