sample_id,seed,method,method_variant,physics_informed,physics_projection,div_weight,eta,measurement_sigma,operator,noise_sigma,rel_l2,rmse,measurement_error,divergence,vorticity_rmse,run
traj1693_snap16,0,ddrm,ddrm_physics,0,1,0.0,0.0,0.0,blur,0.0,0.0585537329316139,0.0158904381096363,1.7978127289097756e-05,0.0077411253005266,0.0561473481357097,runs_ddrm_colab/ddrm_phys_blur_full_val_eta0p0_n640_steps128_sigma4p0
traj1731_snap48,0,ddrm,ddrm_physics,0,1,0.0,0.0,0.0,blur,0.0,0.0603135302662849,0.0359203368425369,7.53155700294883e-06,0.0048296516761183,0.1243181750178337,runs_ddrm_colab/ddrm_phys_blur_full_val_eta0p0_n640_steps128_sigma4p0
traj1741_snap23,0,ddrm,ddrm_physics,0,1,0.0,0.0,0.0,blur,0.0,0.0705152302980423,0.0252645835280418,1.4897641449351797e-05,0.0074236816726624,0.0909552425146102,runs_ddrm_colab/ddrm_phys_blur_full_val_eta0p0_n640_steps128_sigma4p0
traj1617_snap20,0,ddrm,ddrm_physics,0,1,0.0,0.0,0.0,blur,0.0,0.0774368643760681,0.0338475257158279,1.00634306363645e-05,0.0084440568462014,0.1275427788496017,runs_ddrm_colab/ddrm_phys_blur_full_val_eta0p0_n640_steps128_sigma4p0
traj1653_snap34,0,ddrm,ddrm_physics,0,1,0.0,0.0,0.0,blur,0.0,0.0686527118086814,0.0242216568440198,1.351395076198969e-05,0.0058380081318318,0.0856174305081367,runs_ddrm_colab/ddrm_phys_blur_full_val_eta0p0_n640_steps128_sigma4p0
traj1786_snap29,0,ddrm,ddrm_physics,0,1,0.0,0.0,0.0,blur,0.0,0.0599622093141078,0.02235640399158,1.1514396646816747e-05,0.0067856414243578,0.0771374925971031,runs_ddrm_colab/ddrm_phys_blur_full_val_eta0p0_n640_steps128_sigma4p0
traj1608_snap10,0,ddrm,ddrm_physics,0,1,0.0,0.0,0.0,blur,0.0,0.0531886219978332,0.0236133057624101,1.0621281944622751e-05,0.0056315478868782,0.0792159289121627,runs_ddrm_colab/ddrm_phys_blur_full_val_eta0p0_n640_steps128_sigma4p0
traj1689_snap33,0,ddrm,ddrm_physics,0,1,0.0,0.0,0.0,blur,0.0,0.0594833083450794,0.0319809168577194,1.0720675163611304e-05,0.0046638306230306,0.1077881753444671,runs_ddrm_colab/ddrm_phys_blur_full_val_eta0p0_n640_steps128_sigma4p0
traj1620_snap21,0,ddrm,ddrm_physics,0,1,0.0,0.0,0.0,blur,0.0,0.0637964159250259,0.0254601314663887,1.3316660442797e-05,0.0068764109164476,0.0893309190869331,runs_ddrm_colab/ddrm_phys_blur_full_val_eta0p0_n640_steps128_sigma4p0
traj1743_snap9,0,ddrm,ddrm_physics,0,1,0.0,0.0,0.0,blur,0.0,0.0683425813913345,0.0399850010871887,7.902573088358622e-06,0.0060186069458723,0.1432878673076629,runs_ddrm_colab/ddrm_phys_blur_full_val_eta0p0_n640_steps128_sigma4p0
