sample_id,seed,method,method_variant,physics_informed,physics_projection,div_weight,eta,measurement_sigma,operator,noise_sigma,rel_l2,rmse,measurement_error,divergence,vorticity_rmse,run
traj1659_snap47,0,ddrm,ddrm,0,0,0.0,0.0,0.0,blur,0.0,0.0814403295516967,0.0334208197891712,1.1935411748709155e-05,0.223736435174942,0.0815414413809776,runs_ddrm_colab/ddrm_blur_eta0p0_n16_steps128_sigma4p0
traj1717_snap6,0,ddrm,ddrm,0,0,0.0,0.0,0.0,blur,0.0,0.0772094056010246,0.0246654860675334,1.4218868273019323e-05,0.1899299025535583,0.057387139648199,runs_ddrm_colab/ddrm_blur_eta0p0_n16_steps128_sigma4p0
traj1691_snap5,0,ddrm,ddrm,0,0,0.0,0.0,0.0,blur,0.0,0.0751249268651008,0.0283580478280782,1.2581979717651848e-05,0.1721627712249755,0.0712288618087768,runs_ddrm_colab/ddrm_blur_eta0p0_n16_steps128_sigma4p0
traj1672_snap19,0,ddrm,ddrm,0,0,0.0,0.0,0.0,blur,0.0,0.0765311270952224,0.031555313616991,1.0840485629159955e-05,0.1774236261844635,0.0800149366259574,runs_ddrm_colab/ddrm_blur_eta0p0_n16_steps128_sigma4p0
traj1672_snap22,0,ddrm,ddrm,0,0,0.0,0.0,0.0,blur,0.0,0.0862359255552291,0.0355057530105114,1.000881729851244e-05,0.1970677226781845,0.0933023169636726,runs_ddrm_colab/ddrm_blur_eta0p0_n16_steps128_sigma4p0
traj1650_snap15,0,ddrm,ddrm,0,0,0.0,0.0,0.0,blur,0.0,0.0828378275036811,0.0347496196627616,1.1818222446891014e-05,0.1888100653886795,0.08658267557621,runs_ddrm_colab/ddrm_blur_eta0p0_n16_steps128_sigma4p0
traj1713_snap12,0,ddrm,ddrm,0,0,0.0,0.0,0.0,blur,0.0,0.0795471668243408,0.0203109756112098,2.0654928448493592e-05,0.1791577786207199,0.0518788993358612,runs_ddrm_colab/ddrm_blur_eta0p0_n16_steps128_sigma4p0
traj1651_snap33,0,ddrm,ddrm,0,0,0.0,0.0,0.0,blur,0.0,0.0643551647663116,0.0164586436003446,2.2954151063458997e-05,0.1533377021551132,0.039553202688694,runs_ddrm_colab/ddrm_blur_eta0p0_n16_steps128_sigma4p0
traj1627_snap36,0,ddrm,ddrm,0,0,0.0,0.0,0.0,blur,0.0,0.0711090862751007,0.0278338752686977,1.2650930329982655e-05,0.1630143225193023,0.0701979249715805,runs_ddrm_colab/ddrm_blur_eta0p0_n16_steps128_sigma4p0
traj1676_snap25,0,ddrm,ddrm,0,0,0.0,0.0,0.0,blur,0.0,0.0733804032206535,0.0303853563964366,1.0602145266602749e-05,0.1753807365894317,0.0690454021096229,runs_ddrm_colab/ddrm_blur_eta0p0_n16_steps128_sigma4p0
