sample_id,seed,method,method_variant,physics_informed,physics_projection,div_weight,eta,measurement_sigma,operator,noise_sigma,rel_l2,rmse,measurement_error,divergence,vorticity_rmse
traj1659_snap47,0,ddrm,ddrm,0,0,0.0,0.0,0.0,downsample,0.0,0.06373460590839386,0.026154888793826103,2.850667260645423e-05,0.020528413355350494,0.0415775291621685
traj1717_snap6,0,ddrm,ddrm,0,0,0.0,0.0,0.0,downsample,0.0,0.05846073478460312,0.018675994127988815,3.4879361919593066e-05,0.018780417740345,0.03318866714835167
traj1691_snap5,0,ddrm,ddrm,0,0,0.0,0.0,0.0,downsample,0.0,0.06691707670688629,0.02525976300239563,3.09506431221962e-05,0.019604308530688286,0.04414074867963791
traj1672_snap19,0,ddrm,ddrm,0,0,0.0,0.0,0.0,downsample,0.0,0.07362596690654755,0.03035745397210121,2.7281033908366226e-05,0.021307535469532013,0.053154464811086655
traj1672_snap22,0,ddrm,ddrm,0,0,0.0,0.0,0.0,downsample,0.0,0.07570333778858185,0.031169189140200615,2.6516323487157933e-05,0.022120023146271706,0.052937112748622894
traj1650_snap15,0,ddrm,ddrm,0,0,0.0,0.0,0.0,downsample,0.0,0.051238156855106354,0.021493881940841675,2.7054240490542725e-05,0.014738954603672028,0.03644062206149101
traj1713_snap12,0,ddrm,ddrm,0,0,0.0,0.0,0.0,downsample,0.0,0.06245315819978714,0.015946319326758385,4.572743273456581e-05,0.021627439185976982,0.02740131877362728
traj1651_snap33,0,ddrm,ddrm,0,0,0.0,0.0,0.0,downsample,0.0,0.05880342423915863,0.015038803219795227,4.464291123440489e-05,0.019419385120272636,0.02521967701613903
traj1627_snap36,0,ddrm,ddrm,0,0,0.0,0.0,0.0,downsample,0.0,0.05523362010717392,0.02161981910467148,2.7877164029632695e-05,0.017220405861735344,0.03703151270747185
traj1676_snap25,0,ddrm,ddrm,0,0,0.0,0.0,0.0,downsample,0.0,0.06676103174686432,0.027644407004117966,2.746197242231574e-05,0.01980387605726719,0.04805343598127365
traj1655_snap39,0,ddrm,ddrm,0,0,0.0,0.0,0.0,downsample,0.0,0.07050380110740662,0.034710463136434555,2.2984622773947194e-05,0.01830788515508175,0.06478214263916016
traj1625_snap39,0,ddrm,ddrm,0,0,0.0,0.0,0.0,downsample,0.0,0.07355867326259613,0.022572267800569534,3.615530295064673e-05,0.021860241889953613,0.03896327689290047
traj1613_snap25,0,ddrm,ddrm,0,0,0.0,0.0,0.0,downsample,0.0,0.08634078502655029,0.036808062344789505,2.6891171728493646e-05,0.022275296971201897,0.06458983570337296
traj1655_snap41,0,ddrm,ddrm,0,0,0.0,0.0,0.0,downsample,0.0,0.06497608870267868,0.031958527863025665,2.176139059884008e-05,0.018167218193411827,0.0609511062502861
traj1673_snap4,0,ddrm,ddrm,0,0,0.0,0.0,0.0,downsample,0.0,0.04579160362482071,0.011724760755896568,4.413458373164758e-05,0.015193923376500607,0.020747633650898933
traj1639_snap41,0,ddrm,ddrm,0,0,0.0,0.0,0.0,downsample,0.0,0.07411409914493561,0.02418733388185501,3.5940203815698624e-05,0.023985033854842186,0.04108089953660965
