sample_id,seed,method,method_variant,physics_informed,physics_projection,div_weight,eta,measurement_sigma,operator,noise_sigma,rel_l2,rmse,measurement_error,divergence,vorticity_rmse
traj1659_snap47,0,ddrm,ddrm_physics,0,1,0.0,0.85,0.05,blur,0.0,2.6418967247009277,1.0841600894927979,0.00673182588070631,0.016343895345926285,3.8644700050354004
traj1717_snap6,0,ddrm,ddrm_physics,0,1,0.0,0.85,0.05,blur,0.0,3.4644672870635986,1.1067663431167603,0.008566666394472122,0.017598502337932587,3.923456907272339
traj1691_snap5,0,ddrm,ddrm_physics,0,1,0.0,0.85,0.05,blur,0.0,2.872943162918091,1.0844744443893433,0.007511712145060301,0.01500342134386301,3.883925199508667
traj1672_snap19,0,ddrm,ddrm_physics,0,1,0.0,0.85,0.05,blur,0.0,2.619067907333374,1.079893946647644,0.00604106392711401,0.018959926441311836,3.8371918201446533
traj1672_snap22,0,ddrm,ddrm_physics,0,1,0.0,0.85,0.05,blur,0.0,2.6373648643493652,1.0858771800994873,0.006005200557410717,0.019940856844186783,3.8480684757232666
traj1650_snap15,0,ddrm,ddrm_physics,0,1,0.0,0.85,0.05,blur,0.0,2.5822503566741943,1.083227515220642,0.005976756568998098,0.019130611792206764,3.850271224975586
traj1713_snap12,0,ddrm,ddrm_physics,0,1,0.0,0.85,0.05,blur,0.0,4.342529296875,1.1087887287139893,0.010463032871484756,0.016197577118873596,3.94511079788208
traj1651_snap33,0,ddrm,ddrm_physics,0,1,0.0,0.85,0.05,blur,0.0,4.3544135093688965,1.1136285066604614,0.012732477858662605,0.02062254585325718,3.960425853729248
traj1627_snap36,0,ddrm,ddrm_physics,0,1,0.0,0.85,0.05,blur,0.0,2.759117603302002,1.079987645149231,0.006911303848028183,0.015176299028098583,3.870142698287964
traj1676_snap25,0,ddrm,ddrm_physics,0,1,0.0,0.85,0.05,blur,0.0,2.5971157550811768,1.0754135847091675,0.006706826854497194,0.018586192280054092,3.8532941341400146
traj1655_snap39,0,ddrm,ddrm_physics,0,1,0.0,0.85,0.05,blur,0.0,2.1629388332366943,1.0648589134216309,0.004842329770326614,0.018921924754977226,3.763366460800171
traj1625_snap39,0,ddrm,ddrm_physics,0,1,0.0,0.85,0.05,blur,0.0,3.549849510192871,1.0893093347549438,0.008447143249213696,0.01775456964969635,3.8761708736419678
traj1613_snap25,0,ddrm,ddrm_physics,0,1,0.0,0.85,0.05,blur,0.0,2.5253615379333496,1.0765904188156128,0.006466473452746868,0.016285454854369164,3.772754669189453
traj1655_snap41,0,ddrm,ddrm_physics,0,1,0.0,0.85,0.05,blur,0.0,2.169275999069214,1.0669597387313843,0.004766870755702257,0.016401048749685287,3.754885673522949
traj1673_snap4,0,ddrm,ddrm_physics,0,1,0.0,0.85,0.05,blur,0.0,4.2967047691345215,1.1001545190811157,0.011501355096697807,0.02057620882987976,3.9148428440093994
traj1639_snap41,0,ddrm,ddrm_physics,0,1,0.0,0.85,0.05,blur,0.0,3.357682943344116,1.0957887172698975,0.00840156339108944,0.018168980255723,3.849893093109131
