sample_id,seed,method,method_variant,physics_informed,physics_projection,div_weight,eta,measurement_sigma,operator,noise_sigma,rel_l2,rmse,measurement_error,divergence,vorticity_rmse
traj1659_snap47,0,ddrm,ddrm,0,0,0.0,0.85,0.05,blur,0.0,3.063096046447754,1.2570085525512695,0.008398644626140594,2.3787221908569336,3.219238519668579
traj1717_snap6,0,ddrm,ddrm,0,0,0.0,0.85,0.05,blur,0.0,3.90413498878479,1.2472234964370728,0.011316368356347084,2.404674530029297,3.2135837078094482
traj1691_snap5,0,ddrm,ddrm,0,0,0.0,0.85,0.05,blur,0.0,3.338092088699341,1.2600581645965576,0.009770913980901241,2.4799864292144775,3.20778489112854
traj1672_snap19,0,ddrm,ddrm,0,0,0.0,0.85,0.05,blur,0.0,3.014986991882324,1.243139386177063,0.00820484571158886,2.3948237895965576,3.2178876399993896
traj1672_snap22,0,ddrm,ddrm,0,0,0.0,0.85,0.05,blur,0.0,3.0450127124786377,1.2537171840667725,0.007698326837271452,2.4155609607696533,3.1822166442871094
traj1650_snap15,0,ddrm,ddrm,0,0,0.0,0.85,0.05,blur,0.0,2.956582546234131,1.2402560710906982,0.007856463082134724,2.3894972801208496,3.1750800609588623
traj1713_snap12,0,ddrm,ddrm,0,0,0.0,0.85,0.05,blur,0.0,4.9788899421691895,1.2712724208831787,0.014978158287703991,2.4510140419006348,3.290936231613159
traj1651_snap33,0,ddrm,ddrm,0,0,0.0,0.85,0.05,blur,0.0,4.965764999389648,1.2699798345565796,0.01678774692118168,2.4850831031799316,3.229825496673584
traj1627_snap36,0,ddrm,ddrm,0,0,0.0,0.85,0.05,blur,0.0,3.174421548843384,1.2425479888916016,0.009420947171747684,2.474383592605591,3.1987369060516357
traj1676_snap25,0,ddrm,ddrm,0,0,0.0,0.85,0.05,blur,0.0,3.00777530670166,1.2454595565795898,0.009061056189239025,2.431305170059204,3.1796059608459473
traj1655_snap39,0,ddrm,ddrm,0,0,0.0,0.85,0.05,blur,0.0,2.5006556510925293,1.231123685836792,0.006276103667914867,2.343618631362915,3.164811372756958
traj1625_snap39,0,ddrm,ddrm,0,0,0.0,0.85,0.05,blur,0.0,4.125606536865234,1.2659865617752075,0.011647666804492474,2.493051767349243,3.2211697101593018
traj1613_snap25,0,ddrm,ddrm,0,0,0.0,0.85,0.05,blur,0.0,2.9385740756988525,1.252747654914856,0.008228965103626251,2.3659582138061523,3.2213451862335205
traj1655_snap41,0,ddrm,ddrm,0,0,0.0,0.85,0.05,blur,0.0,2.5157737731933594,1.2373849153518677,0.006201643031090498,2.3460614681243896,3.1393611431121826
traj1673_snap4,0,ddrm,ddrm,0,0,0.0,0.85,0.05,blur,0.0,5.0165300369262695,1.2844629287719727,0.016280049458146095,2.5116844177246094,3.240626573562622
traj1639_snap41,0,ddrm,ddrm,0,0,0.0,0.85,0.05,blur,0.0,3.8468410968780518,1.2554268836975098,0.011278962716460228,2.508009433746338,3.1538147926330566
