sample_id,seed,method,method_variant,physics_informed,physics_projection,div_weight,eta,measurement_sigma,operator,noise_sigma,rel_l2,rmse,measurement_error,divergence,vorticity_rmse
traj1659_snap47,0,ddrm,ddrm_physics,0,1,0.0,0.0,0.0,blur,0.0,0.05569217726588249,0.022854503244161606,1.2577487723319791e-05,0.0062682791613042355,0.08169543743133545
traj1717_snap6,0,ddrm,ddrm_physics,0,1,0.0,0.0,0.0,blur,0.0,0.055480219423770905,0.01772383227944374,1.4120058040134609e-05,0.0073073552921414375,0.057867828756570816
traj1691_snap5,0,ddrm,ddrm_physics,0,1,0.0,0.0,0.0,blur,0.0,0.0571373887360096,0.021568140015006065,1.3084771126159467e-05,0.0057125692255795,0.07184164226055145
traj1672_snap19,0,ddrm,ddrm_physics,0,1,0.0,0.0,0.0,blur,0.0,0.058311495929956436,0.024042993783950806,1.1599093340919353e-05,0.005440177395939827,0.0805848017334938
traj1672_snap22,0,ddrm,ddrm_physics,0,1,0.0,0.0,0.0,blur,0.0,0.06638044863939285,0.02733069472014904,1.1392955457267817e-05,0.004849132616072893,0.09379900246858597
traj1650_snap15,0,ddrm,ddrm_physics,0,1,0.0,0.0,0.0,blur,0.0,0.061786871403455734,0.025918956845998764,1.177777176053496e-05,0.004785720258951187,0.08719421923160553
traj1713_snap12,0,ddrm,ddrm_physics,0,1,0.0,0.0,0.0,blur,0.0,0.059620201587677,0.015222974121570587,2.0703233531094156e-05,0.007126174867153168,0.052117716521024704
traj1651_snap33,0,ddrm,ddrm_physics,0,1,0.0,0.0,0.0,blur,0.0,0.04726055637001991,0.012086748145520687,2.3124541257857345e-05,0.005789686925709248,0.03976850211620331
traj1627_snap36,0,ddrm,ddrm_physics,0,1,0.0,0.0,0.0,blur,0.0,0.05270791053771973,0.02063119411468506,1.2771423826052342e-05,0.005226396024227142,0.07056396454572678
traj1676_snap25,0,ddrm,ddrm_physics,0,1,0.0,0.0,0.0,blur,0.0,0.05318713188171387,0.022023726254701614,1.166204583569197e-05,0.010235202498733997,0.06950895488262177
traj1655_snap39,0,ddrm,ddrm_physics,0,1,0.0,0.0,0.0,blur,0.0,0.07551059871912003,0.037175409495830536,1.0010317964770366e-05,0.008077211678028107,0.12660421431064606
traj1625_snap39,0,ddrm,ddrm_physics,0,1,0.0,0.0,0.0,blur,0.0,0.06389588117599487,0.01960713602602482,1.3778177162748761e-05,0.005819264333695173,0.06789807230234146
traj1613_snap25,0,ddrm,ddrm_physics,0,1,0.0,0.0,0.0,blur,0.0,0.059141866862773895,0.025212852284312248,1.346642693533795e-05,0.009242100641131401,0.08669751137495041
traj1655_snap41,0,ddrm,ddrm_physics,0,1,0.0,0.0,0.0,blur,0.0,0.07306160032749176,0.03593539446592331,1.0616467079671565e-05,0.0051093436777591705,0.12293538451194763
traj1673_snap4,0,ddrm,ddrm_physics,0,1,0.0,0.0,0.0,blur,0.0,0.04990415275096893,0.012777763418853283,1.9691016859724186e-05,0.003818307537585497,0.04468328505754471
traj1639_snap41,0,ddrm,ddrm_physics,0,1,0.0,0.0,0.0,blur,0.0,0.055917538702487946,0.01824883744120598,1.4061478395888116e-05,0.00437891436740756,0.061225902289152145
